"","comorbid_condition","concept_id","concept_code","concept_name","vocabulary"
"21","Malignancy, except skin neoplasms",28083,"93961004","Primary malignant neoplasm of pharynx","SNOMED CT"
"22","Malignancy, except skin neoplasms",28356,"109824000","Overlapping malignant neoplasm of major salivary gland","SNOMED CT"
"23","Moderate or severe liver disease",28779,"17709002","Bleeding esophageal varices","SNOMED CT"
"24","Peptic ulcer disease",30439,"34921009","Acute peptic ulcer with perforation but without obstruction","SNOMED CT"
"25","Peptic ulcer disease",30442,"57871005","Chronic peptic ulcer with perforation AND obstruction","SNOMED CT"
"26","Peptic ulcer disease",30770,"81518000","Chronic peptic ulcer with hemorrhage but without obstruction","SNOMED CT"
"27","Peptic ulcer disease",31335,"22157005","Acute peptic ulcer with hemorrhage but without obstruction","SNOMED CT"
"28","Malignancy, except skin neoplasms",31509,"372020000","Primary malignant neoplasm of tonsil","SNOMED CT"
"29","Malignancy, except skin neoplasms",72566,"372115003","Primary malignant neoplasm of pelvic bones, sacrum and coccyx","SNOMED CT"
"30","Malignancy, except skin neoplasms",73153,"188241004","Malignant neoplasm of lateral wall of urinary bladder","SNOMED CT"
"31","Rheumatic disease",74125,"417373000","Inflammatory polyarthropathy","SNOMED CT"
"32","Malignancy, except skin neoplasms",74582,"93984006","Primary malignant neoplasm of rectum","SNOMED CT"
"33","Malignancy, except skin neoplasms",75488,"372028007","Primary malignant neoplasm of vertebral column","SNOMED CT"
"34","Malignancy, except skin neoplasms",75756,"188243001","Malignant neoplasm of posterior wall of urinary bladder","SNOMED CT"
"35","Malignancy, except skin neoplasms",76349,"94125001","Primary malignant neoplasm of urinary system","SNOMED CT"
"36","Malignancy, except skin neoplasms",76914,"93725000","Primary malignant neoplasm of bone","SNOMED CT"
"37","Malignancy, except skin neoplasms",76924,"94122003","Primary malignant neoplasm of ureteric orifice of urinary bladder","SNOMED CT"
"38","Malignancy, except skin neoplasms",77812,"188242006","Malignant neoplasm of anterior wall of urinary bladder","SNOMED CT"
"39","Malignancy, except skin neoplasms",78093,"93966009","Primary malignant neoplasm of pleura","SNOMED CT"
"40","Malignancy, except skin neoplasms",79740,"109838007","Overlapping malignant neoplasm of colon","SNOMED CT"
"41","Malignancy, except skin neoplasms",79749,"93716006","Primary malignant neoplasm of body of penis","SNOMED CT"
"42","Malignancy, except skin neoplasms",79758,"372009000","Primary malignant neoplasm of scrotum","SNOMED CT"
"43","Malignancy, except skin neoplasms",80045,"93676009","Primary malignant neoplasm of anus","SNOMED CT"
"44","Rheumatic disease",80182,"396230008","Dermatomyositis","SNOMED CT"
"45","Malignancy, except skin neoplasms",80340,"93783009","Primary malignant neoplasm of epididymis","SNOMED CT"
"46","Malignancy, except skin neoplasms",80665,"188361007","Malignant neoplasm of thorax","SNOMED CT"
"47","Rheumatic disease",80800,"31384009","Polymyositis","SNOMED CT"
"48","Rheumatic disease",80809,"69896004","Rheumatoid arthritis","SNOMED CT"
"49","Rheumatic disease",81097,"57160007","Felty's syndrome","SNOMED CT"
"50","Malignancy, except skin neoplasms",81237,"372133009","Primary malignant neoplasm of upper limb bones and scapula","SNOMED CT"
"51","Malignancy, except skin neoplasms",81239,"94116007","Primary malignant neoplasm of upper limb","SNOMED CT"
"52","Malignancy, except skin neoplasms",132258,"93808006","Primary malignant neoplasm of frontal sinus","SNOMED CT"
"53","Malignancy, except skin neoplasms",132565,"372026006","Primary malignant neoplasm of vermilion border of lower lip","SNOMED CT"
"54","Malignancy, except skin neoplasms",132570,"188645002","Leukemic reticuloendotheliosis of lymph nodes of head, face and neck","SNOMED CT"
"55","Malignancy, except skin neoplasms",132572,"92817004","Chronic myeloid leukemia in remission","SNOMED CT"
"56","Malignancy, except skin neoplasms",132575,"94718004","Myeloid sarcoma in remission","SNOMED CT"
"57","Hemiplegia or paraplegia",132617,"58193001","Diplegic cerebral palsy","SNOMED CT"
"58","Malignancy, except skin neoplasms",132832,"93835002","Primary malignant neoplasm of inner aspect of lip","SNOMED CT"
"59","Malignancy, except skin neoplasms",132841,"93197009","Malignant lymphoma of lymph nodes of multiple sites","SNOMED CT"
"60","Malignancy, except skin neoplasms",132850,"94716000","Myeloid leukemia in remission","SNOMED CT"
"61","Malignancy, except skin neoplasms",132853,"188725004","Lymphoid leukemia","SNOMED CT"
"62","Malignancy, except skin neoplasms",133154,"95210003","Plasma cell leukemia","SNOMED CT"
"63","Malignancy, except skin neoplasms",133158,"95209008","Plasma cell leukemia in remission","SNOMED CT"
"64","Malignancy, except skin neoplasms",133419,"109267002","Overlapping malignant melanoma of skin","SNOMED CT"
"65","Malignancy, except skin neoplasms",133420,"371983001","Primary malignant neoplasm of endocrine gland","SNOMED CT"
"66","Malignancy, except skin neoplasms",133424,"94098005","Primary malignant neoplasm of thyroid gland","SNOMED CT"
"67","Malignancy, except skin neoplasms",133438,"92813000","Chronic lymphoid leukemia in remission","SNOMED CT"
"68","Malignancy, except skin neoplasms",133710,"109822001","Overlapping malignant neoplasm of lip","SNOMED CT"
"69","Malignancy, except skin neoplasms",133713,"93225001","Malignant melanoma of skin of face","SNOMED CT"
"70","Malignancy, except skin neoplasms",133714,"93651008","Malignant melanoma of skin of trunk","SNOMED CT"
"71","Malignancy, except skin neoplasms",133969,"94135007","Primary malignant neoplasm of vermilion border of lip","SNOMED CT"
"72","Hemiplegia or paraplegia",134031,"43486001","Hemiplegic cerebral palsy","SNOMED CT"
"73","Malignancy, except skin neoplasms",134290,"372002009","Primary malignant neoplasm of palate","SNOMED CT"
"74","Malignancy, except skin neoplasms",134295,"94069006","Primary malignant neoplasm of spinal meninges","SNOMED CT"
"75","Malignancy, except skin neoplasms",134305,"91857003","Acute lymphoid leukemia","SNOMED CT"
"76","Hemiplegia or paraplegia",134331,"8663007","Cauda equina syndrome without neurogenic bladder","SNOMED CT"
"77","Peripheral vascular disease",134380,"37151006","Erythromelalgia","SNOMED CT"
"78","Rheumatic disease",134442,"89155008","Systemic sclerosis","SNOMED CT"
"79","Malignancy, except skin neoplasms",134579,"371976008","Primary malignant neoplasm of buccal mucosa","SNOMED CT"
"80","Malignancy, except skin neoplasms",134596,"93169003","Lymphoid leukemia in remission","SNOMED CT"
"81","Malignancy, except skin neoplasms",134597,"92811003","Chronic leukemia in remission","SNOMED CT"
"82","Malignancy, except skin neoplasms",134603,"92818009","Chronic myeloid leukemia","SNOMED CT"
"83","Malignancy, except skin neoplasms",134879,"94709001","Mycosis fungoides of intrathoracic lymph nodes","SNOMED CT"
"84","Malignancy, except skin neoplasms",135194,"188501009","Lymphosarcoma of intrathoracic lymph nodes","SNOMED CT"
"85","Malignancy, except skin neoplasms",135214,"109992005","Polycythemia vera (clinical)","SNOMED CT"
"86","Malignancy, except skin neoplasms",135476,"372017008","Primary malignant neoplasm of thoracic esophagus","SNOMED CT"
"87","Malignancy, except skin neoplasms",135491,"94068003","Primary malignant neoplasm of spinal cord","SNOMED CT"
"88","Malignancy, except skin neoplasms",135496,"91854005","Acute leukemia in remission","SNOMED CT"
"89","Malignancy, except skin neoplasms",135750,"93802007","Primary malignant neoplasm of floor of mouth","SNOMED CT"
"90","Malignancy, except skin neoplasms",135762,"91860005","Acute myeloid leukemia in remission","SNOMED CT"
"91","Malignancy, except skin neoplasms",135764,"188627002","Mycosis fungoides of lymph nodes of multiple sites","SNOMED CT"
"92","Malignancy, except skin neoplasms",135766,"93142004","Leukemia in remission","SNOMED CT"
"93","Malignancy, except skin neoplasms",135768,"413441006","Acute monocytic leukemia","SNOMED CT"
"94","Malignancy, except skin neoplasms",136639,"94067008","Primary malignant neoplasm of sphenoidal sinus","SNOMED CT"
"95","Malignancy, except skin neoplasms",136655,"188576003","Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes","SNOMED CT"
"96","Malignancy, except skin neoplasms",136656,"188726003","Subacute lymphoid leukemia","SNOMED CT"
"97","Malignancy, except skin neoplasms",136928,"188566001","Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes","SNOMED CT"
"98","Malignancy, except skin neoplasms",136930,"94148006","Megakaryocytic leukemia in remission","SNOMED CT"
"99","Malignancy, except skin neoplasms",137219,"93836001","Primary malignant neoplasm of inner aspect of lower lip","SNOMED CT"
"100","Malignancy, except skin neoplasms",137800,"93889000","Primary malignant neoplasm of maxillary sinus","SNOMED CT"
"101","Malignancy, except skin neoplasms",138074,"372027002","Primary malignant neoplasm of vermilion border of upper lip","SNOMED CT"
"102","Malignancy, except skin neoplasms",138099,"93451002","Erythroleukemia, FAB M6","SNOMED CT"
"103","Malignancy, except skin neoplasms",138351,"93837005","Primary malignant neoplasm of inner aspect of upper lip","SNOMED CT"
"104","Malignancy, except skin neoplasms",138378,"188633006","Sezary's disease of lymph nodes of axilla and upper limb","SNOMED CT"
"105","Malignancy, except skin neoplasms",138379,"92814006","Chronic lymphoid leukemia, disease","SNOMED CT"
"106","Malignancy, except skin neoplasms",138708,"91855006","Acute leukemia","SNOMED CT"
"107","Malignancy, except skin neoplasms",139753,"93943008","Primary malignant neoplasm of parathyroid gland","SNOMED CT"
"108","Malignancy, except skin neoplasms",139757,"93641007","Malignant melanoma of skin of lower limb","SNOMED CT"
"109","Malignancy, except skin neoplasms",139759,"95230004","Reticulosarcoma of lymph nodes of multiple sites","SNOMED CT"
"110","Malignancy, except skin neoplasms",140046,"93787005","Primary malignant neoplasm of ethmoidal sinus","SNOMED CT"
"111","Malignancy, except skin neoplasms",140048,"93640008","Malignant melanoma of skin of lip","SNOMED CT"
"112","Malignancy, except skin neoplasms",140057,"92812005","Chronic leukemia","SNOMED CT"
"113","Malignancy, except skin neoplasms",140352,"91861009","Acute myeloid leukemia, disease","SNOMED CT"
"114","Malignancy, except skin neoplasms",140663,"188531003","Hodgkin's paragranuloma of lymph nodes of multiple sites","SNOMED CT"
"115","Malignancy, except skin neoplasms",140664,"188637007","Sézary's disease of lymph nodes of multiple sites","SNOMED CT"
"116","Malignancy, except skin neoplasms",140666,"188732008","Myeloid leukemia","SNOMED CT"
"117","Malignancy, except skin neoplasms",140672,"91858008","Acute monocytic leukemia in remission","SNOMED CT"
"118","Malignancy, except skin neoplasms",140950,"371990006","Primary malignant neoplasm of gum","SNOMED CT"
"119","Malignancy, except skin neoplasms",140955,"109830000","Overlapping malignant neoplasm of floor of mouth","SNOMED CT"
"120","Malignancy, except skin neoplasms",140958,"109388009","Kaposi's sarcoma of palate","SNOMED CT"
"121","Malignancy, except skin neoplasms",140967,"94719007","Myeloid sarcoma","SNOMED CT"
"122","Malignancy, except skin neoplasms",141232,"93655004","Malignant melanoma of skin","SNOMED CT"
"123","Malignancy, except skin neoplasms",141243,"188586002","Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes","SNOMED CT"
"124","Malignancy, except skin neoplasms",141816,"91856007","Acute lymphoid leukemia in remission","SNOMED CT"
"125","Mild liver disease",192240,"235869004","Chronic viral hepatitis B with hepatitis D","SNOMED CT"
"126","Malignancy, except skin neoplasms",192255,"93977003","Primary malignant neoplasm of pylorus","SNOMED CT"
"127","Malignancy, except skin neoplasms",192261,"109848009","Overlapping malignant neoplasm of pancreas","SNOMED CT"
"128","Malignancy, except skin neoplasms",192265,"95225003","Reticulosarcoma of intrapelvic lymph nodes","SNOMED CT"
"129","Malignancy, except skin neoplasms",192268,"188577007","Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes","SNOMED CT"
"130","Malignancy, except skin neoplasms",192270,"93183001","Malignant histiocytosis of intrapelvic lymph nodes","SNOMED CT"
"131","Diabetes, with chronic complications",192279,"127013003","Disorder of kidney due to diabetes mellitus","SNOMED CT"
"132","Renal disease",192359,"42399005","Renal failure syndrome","SNOMED CT"
"133","Hemiplegia or paraplegia",192606,"60389000","Paraplegia","SNOMED CT"
"134","Peripheral vascular disease",192673,"82196007","Vascular insufficiency of intestine","SNOMED CT"
"135","Mild liver disease",192675,"1761006","Biliary cirrhosis","SNOMED CT"
"136","Moderate or severe liver disease",192680,"34742003","Portal hypertension","SNOMED CT"
"137","Malignancy, except skin neoplasms",192836,"94048009","Primary malignant neoplasm of small intestine","SNOMED CT"
"138","Malignancy, except skin neoplasms",192847,"93844001","Primary malignant neoplasm of isthmus of uterus","SNOMED CT"
"139","Hemiplegia or paraplegia",192901,"39912006","Hereditary spastic paraplegia","SNOMED CT"
"140","Peptic ulcer disease",192954,"81225008","Acute gastric ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"141","Malignancy, except skin neoplasms",193138,"371998004","Primary malignant neoplasm of lower third of esophagus","SNOMED CT"
"142","Malignancy, except skin neoplasms",193157,"93518009","Hodgkin's disease, nodular sclerosis of spleen","SNOMED CT"
"143","Hemiplegia or paraplegia",193186,"12454008","Cauda equina syndrome with neurogenic urinary bladder","SNOMED CT"
"144","Mild liver disease",193256,"50325005","Alcoholic fatty liver","SNOMED CT"
"145","Malignancy, except skin neoplasms",193418,"94071006","Primary malignant neoplasm of spleen","SNOMED CT"
"146","Malignancy, except skin neoplasms",193422,"93717002","Primary malignant neoplasm of body of stomach","SNOMED CT"
"147","Malignancy, except skin neoplasms",193428,"188515006","Burkitt's lymphoma of intrapelvic lymph nodes","SNOMED CT"
"148","Malignancy, except skin neoplasms",193429,"93144003","Leukemic reticuloendotheliosis of intra-abdominal lymph nodes","SNOMED CT"
"149","Malignancy, except skin neoplasms",193434,"188567005","Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes","SNOMED CT"
"150","Mild liver disease",193693,"111896003","Viral hepatitis without hepatic coma","SNOMED CT"
"151","Malignancy, except skin neoplasms",193719,"372013007","Primary malignant neoplasm of spermatic cord","SNOMED CT"
"152","Malignancy, except skin neoplasms",193721,"93189002","Malignant histiocytosis of spleen","SNOMED CT"
"153","Renal disease",193782,"46177005","End-stage renal disease","SNOMED CT"
"154","Peptic ulcer disease",193795,"70418001","Acute gastric ulcer with hemorrhage but without obstruction","SNOMED CT"
"155","Malignancy, except skin neoplasms",193971,"371962007","Primary malignant neoplasm of abdominal esophagus","SNOMED CT"
"156","Malignancy, except skin neoplasms",194286,"188189001","Malignant neoplasm of corpus uteri, excluding isthmus","SNOMED CT"
"157","Mild liver disease",194417,"17890003","Hepatic infarction","SNOMED CT"
"158","Malignancy, except skin neoplasms",194589,"371970002","Primary malignant neoplasm of biliary tract","SNOMED CT"
"159","Malignancy, except skin neoplasms",194594,"188580008","Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes","SNOMED CT"
"160","Peptic ulcer disease",194680,"90628007","Acute gastric ulcer with perforation but without obstruction","SNOMED CT"
"161","Mild liver disease",194692,"266468003","Cirrhosis - non-alcoholic","SNOMED CT"
"162","Malignancy, except skin neoplasms",194876,"93494007","Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes","SNOMED CT"
"163","Mild liver disease",194984,"235856003","Disease of liver","SNOMED CT"
"164","Peptic ulcer disease",194986,"28945005","Acute peptic ulcer with hemorrhage, with perforation AND with obstruction","SNOMED CT"
"165","Mild liver disease",194990,"128241005","Inflammatory disease of liver","SNOMED CT"
"166","Malignancy, except skin neoplasms",195195,"93192003","Malignant lymphoma of intrapelvic lymph nodes","SNOMED CT"
"167","Malignancy, except skin neoplasms",195196,"93548007","Hodgkin's sarcoma of intrapelvic lymph nodes","SNOMED CT"
"168","Malignancy, except skin neoplasms",195197,"94143002","Primary malignant neoplasm of vulva","SNOMED CT"
"169","Malignancy, except skin neoplasms",195201,"188506004","Lymphosarcoma of spleen","SNOMED CT"
"170","Hemiplegia or paraplegia",195240,"80420005","Monoplegia of lower limb","SNOMED CT"
"171","Malignancy, except skin neoplasms",195480,"93985007","Primary malignant neoplasm of renal pelvis","SNOMED CT"
"172","Malignancy, except skin neoplasms",195482,"371992003","Primary malignant neoplasm of intestinal tract","SNOMED CT"
"173","Malignancy, except skin neoplasms",195483,"372005006","Primary malignant neoplasm of penis","SNOMED CT"
"174","Peripheral vascular disease",195559,"14336007","Ruptured abdominal aortic aneurysm","SNOMED CT"
"175","Peptic ulcer disease",195583,"60531007","Chronic gastric ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"176","Peptic ulcer disease",195584,"58085004","Acute peptic ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"177","Malignancy, except skin neoplasms",195760,"95263006","Sézary's disease of spleen","SNOMED CT"
"178","Malignancy, except skin neoplasms",195761,"93521006","Hodgkin's disease of intrapelvic lymph nodes","SNOMED CT"
"179","Peripheral vascular disease",195834,"45281005","Atherosclerosis of renal artery","SNOMED CT"
"180","Peptic ulcer disease",195845,"53337006","Acute gastric ulcer with hemorrhage, with perforation and with obstruction","SNOMED CT"
"181","Peptic ulcer disease",195851,"59913009","Gastric ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"182","Mild liver disease",196029,"40946000","Hepatic coma due to viral hepatitis","SNOMED CT"
"183","Malignancy, except skin neoplasms",196044,"372014001","Primary malignant neoplasm of stomach","SNOMED CT"
"184","Malignancy, except skin neoplasms",196047,"93942003","Primary malignant neoplasm of parametrium","SNOMED CT"
"185","Malignancy, except skin neoplasms",196048,"372025005","Primary malignant neoplasm of vagina","SNOMED CT"
"186","Malignancy, except skin neoplasms",196049,"94123008","Primary malignant neoplasm of urethra","SNOMED CT"
"187","Malignancy, except skin neoplasms",196051,"109878000","Overlapping malignant neoplasm of female genital organs","SNOMED CT"
"188","Malignancy, except skin neoplasms",196355,"93536009","Hodgkin's granuloma of spleen","SNOMED CT"
"189","Malignancy, except skin neoplasms",196359,"372024009","Primary malignant neoplasm of uterine cervix","SNOMED CT"
"190","Malignancy, except skin neoplasms",196360,"93689003","Primary malignant neoplasm of urinary bladder","SNOMED CT"
"191","Peptic ulcer disease",196442,"74341002","Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"192","Peptic ulcer disease",196443,"31452001","Gastric ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"193","Moderate or severe liver disease",196455,"51292008","Hepatorenal syndrome","SNOMED CT"
"194","Mild liver disease",196463,"420054005","Alcoholic cirrhosis","SNOMED CT"
"195","Malignancy, except skin neoplasms",196645,"109874003","Overlapping malignant neoplasm of male genital organs","SNOMED CT"
"196","Malignancy, except skin neoplasms",196650,"93145002","Leukemic reticuloendotheliosis of intrapelvic lymph nodes","SNOMED CT"
"197","Peptic ulcer disease",197018,"76078009","Chronic gastric ulcer with hemorrhage but without obstruction","SNOMED CT"
"198","Malignancy, except skin neoplasms",197225,"371980003","Primary malignant neoplasm of clitoris","SNOMED CT"
"199","Malignancy, except skin neoplasms",197228,"188502002","Lymphosarcoma of intra-abdominal lymph nodes","SNOMED CT"
"200","Cerebrovascular disease",197303,"425642008","Monoplegia of dominant lower limb as a late effect of cerebrovascular accident","SNOMED CT"
"201","Malignancy, except skin neoplasms",197500,"93761005","Primary malignant neoplasm of colon","SNOMED CT"
"202","Malignancy, except skin neoplasms",197506,"188366002","Malignant neoplasm of abdomen","SNOMED CT"
"203","Malignancy, except skin neoplasms",197507,"93885006","Primary malignant neoplasm of male genital organ","SNOMED CT"
"204","Malignancy, except skin neoplasms",197799,"372016004","Primary malignant neoplasm of the peritoneum","SNOMED CT"
"205","Malignancy, except skin neoplasms",197803,"109836006","Overlapping malignant neoplasm of stomach","SNOMED CT"
"206","Malignancy, except skin neoplasms",197804,"93839008","Primary malignant neoplasm of intra-abdominal organs","SNOMED CT"
"207","Malignancy, except skin neoplasms",197806,"372139008","Primary malignant neoplasm of gallbladder","SNOMED CT"
"208","Malignancy, except skin neoplasms",197807,"94050001","Primary malignant neoplasm of soft tissues of abdomen","SNOMED CT"
"209","Malignancy, except skin neoplasms",197808,"94063007","Primary malignant neoplasm of soft tissues of trunk","SNOMED CT"
"210","Peptic ulcer disease",197914,"36246001","Chronic gastric ulcer with perforation but without obstruction","SNOMED CT"
"211","Renal disease",197921,"16726004","Renal osteodystrophy","SNOMED CT"
"212","Malignancy, except skin neoplasms",198082,"109879008","Overlapping malignant neoplasm of body of uterus","SNOMED CT"
"213","Malignancy, except skin neoplasms",198085,"109389001","Kaposi's sarcoma of gastrointestinal tract","SNOMED CT"
"214","Malignancy, except skin neoplasms",198088,"95187002","Nodular lymphoma of intrapelvic lymph nodes","SNOMED CT"
"215","Malignancy, except skin neoplasms",198091,"94092006","Primary malignant neoplasm of retroperitoneum","SNOMED CT"
"216","Malignancy, except skin neoplasms",198092,"109851002","Overlapping malignant neoplasm of retroperitoneum and peritoneum","SNOMED CT"
"217","Malignancy, except skin neoplasms",198098,"93182006","Malignant histiocytosis of intra-abdominal lymph nodes","SNOMED CT"
"218","Malignancy, except skin neoplasms",198104,"93665005","Primary malignant neoplasm of adrenal gland","SNOMED CT"
"219","Renal disease",198124,"90708001","Kidney disease","SNOMED CT"
"220","Peripheral vascular disease",198177,"233985008","Abdominal aortic aneurysm","SNOMED CT"
"221","Renal disease",198185,"90688005","Chronic renal failure","SNOMED CT"
"222","Peptic ulcer disease",198187,"3023008","Acute peptic ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"223","Malignancy, except skin neoplasms",198372,"93547002","Hodgkin's sarcoma of intra-abdominal lymph nodes","SNOMED CT"
"224","Malignancy, except skin neoplasms",198374,"95193005","Nodular lymphoma of spleen","SNOMED CT"
"225","Malignancy, except skin neoplasms",198381,"93500006","Hodgkin's disease, lymphocytic-histiocytic predominance of spleen","SNOMED CT"
"226","Peptic ulcer disease",198467,"46708007","Acute gastric ulcer with hemorrhage and obstruction","SNOMED CT"
"227","Mild liver disease",198683,"111891008","Viral hepatitis B without hepatic coma","SNOMED CT"
"228","Malignancy, except skin neoplasms",198695,"109847004","Overlapping malignant neoplasm of biliary tract","SNOMED CT"
"229","Malignancy, except skin neoplasms",198702,"188504001","Lymphosarcoma of lymph nodes of inguinal region and lower limb","SNOMED CT"
"230","Malignancy, except skin neoplasms",198704,"93527005","Hodgkin's disease of spleen","SNOMED CT"
"231","Malignancy, except skin neoplasms",198707,"188613007","Nodular lymphoma of lymph nodes of inguinal region and lower limb","SNOMED CT"
"232","Malignancy, except skin neoplasms",198710,"93554008","Hodgkin's sarcoma of spleen","SNOMED CT"
"233","Peptic ulcer disease",198801,"85787009","Chronic gastric ulcer with hemorrhage, with perforation and with obstruction","SNOMED CT"
"234","Mild liver disease",198964,"128302006","Chronic hepatitis C","SNOMED CT"
"235","Malignancy, except skin neoplasms",198985,"93849006","Primary malignant neoplasm of kidney","SNOMED CT"
"236","Malignancy, except skin neoplasms",198986,"188529007","Hodgkin's paragranuloma of intrapelvic lymph nodes","SNOMED CT"
"237","Malignancy, except skin neoplasms",198988,"93953009","Primary malignant neoplasm of pelvis","SNOMED CT"
"238","Peptic ulcer disease",199062,"54053008","Acute gastric ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"239","Peripheral vascular disease",199064,"111354009","Chronic vascular insufficiency of intestine","SNOMED CT"
"240","Malignancy, except skin neoplasms",199747,"109837002","Overlapping malignant neoplasm of small intestine","SNOMED CT"
"241","Malignancy, except skin neoplasms",199754,"372003004","Primary malignant neoplasm of pancreas","SNOMED CT"
"242","Malignancy, except skin neoplasms",199760,"188570009","Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes","SNOMED CT"
"243","Peptic ulcer disease",199855,"17067009","Acute gastric ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"244","Mild liver disease",199867,"41889008","Chronic persistent hepatitis","SNOMED CT"
"245","Malignancy, except skin neoplasms",200051,"93934004","Primary malignant neoplasm of ovary","SNOMED CT"
"246","Malignancy, except skin neoplasms",200052,"94126000","Primary malignant neoplasm of uterine adnexa","SNOMED CT"
"247","Malignancy, except skin neoplasms",200054,"94121005","Primary malignant neoplasm of ureter","SNOMED CT"
"248","Peptic ulcer disease",200137,"43694004","Acute gastric ulcer with perforation AND obstruction","SNOMED CT"
"249","Malignancy, except skin neoplasms",200338,"95186006","Nodular lymphoma of intra-abdominal lymph nodes","SNOMED CT"
"250","Malignancy, except skin neoplasms",200343,"93198004","Malignant lymphoma of spleen","SNOMED CT"
"251","Malignancy, except skin neoplasms",200349,"93191005","Malignant lymphoma of intra-abdominal lymph nodes","SNOMED CT"
"252","Malignancy, except skin neoplasms",200355,"93520007","Hodgkin's disease of intra-abdominal lymph nodes","SNOMED CT"
"253","Malignancy, except skin neoplasms",200659,"95224004","Reticulosarcoma of intra-abdominal lymph nodes","SNOMED CT"
"254","Malignancy, except skin neoplasms",200660,"188493000","Reticulosarcoma of lymph nodes of inguinal region and lower limb","SNOMED CT"
"255","Malignancy, except skin neoplasms",200662,"188498009","Lymphosarcoma","SNOMED CT"
"256","Malignancy, except skin neoplasms",200667,"93201009","Malignant mast cell tumor of intrapelvic lymph nodes","SNOMED CT"
"257","Diabetes, with chronic complications",200687,"421893009","Renal disorder due to type 1 diabetes mellitus","SNOMED CT"
"258","Mild liver disease",200762,"408335007","Autoimmune hepatitis","SNOMED CT"
"259","Mild liver disease",200763,"76783007","Chronic hepatitis","SNOMED CT"
"260","Peptic ulcer disease",200769,"1567007","Chronic gastric ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"261","Peptic ulcer disease",200771,"54157007","Peptic ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"262","Malignancy, except skin neoplasms",200962,"93974005","Primary malignant neoplasm of prostate","SNOMED CT"
"263","Malignancy, except skin neoplasms",200963,"93944002","Primary malignant neoplasm of paraurethral glands","SNOMED CT"
"264","Peripheral vascular disease",201043,"233999007","Dissection of iliac artery","SNOMED CT"
